Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HomeGoalsAvg,AwayGoalsAvg,HomeConcedeAvg,AwayConcedeAvg,HomeRecentPoints,AwayRecentPoints,HomeWinRate,AwayWinRate,HomeCleanSheetRate,AwayCleanSheetRate,HomeBTTSRate,AwayBTTSRate,HomeOver25Rate,AwayOver25Rate,HomeGoalsAvgHome,HomeConcedeAvgHome,HomeRecentPointsHome,AwayGoalsAvgAway,AwayConcedeAvgAway,AwayRecentPointsAway,H2HHomeWins,H2HAwayWins,H2HDraws,H2HGoalsAvg,HomeAttackStrength,AwayAttackStrength,HomeDefenseStrength,AwayDefenseStrength,ExpectedHomeGoals,ExpectedAwayGoals
2015-09-26,Southampton,Swansea,3.0,1.0,H,1.0,0.0,H,1.1666666666666667,1.1666666666666667,1.3333333333333333,0.8333333333333334,5,8,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,1.6666666666666667,2.0,3,1.0,1.3333333333333333,2,0,0,0,0.0,1.37,0.822,1.644,1.096,2.319,1.73
2015-09-26,Tottenham,Man City,4.0,1.0,H,1.0,1.0,D,0.8333333333333334,2.0,0.6666666666666666,0.3333333333333333,9,12,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.1666666666666666,0.0,0.5,1.0,0.6666666666666666,5,2.0,0.0,9,0,0,0,0.0,0.803,1.649,0.55,0.0,0.0,1.161
2015-09-26,West Ham,Norwich,2.0,2.0,D,1.0,1.0,D,2.1666666666666665,1.5,1.1666666666666667,1.6666666666666667,9,8,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.0,0.6666666666666666,2.0,2.0,3,1.3333333333333333,1.6666666666666667,4,0,0,0,0.0,1.55,1.102,1.653,1.292,3.093,2.332
2015-09-26,Leicester,Arsenal,2.0,5.0,A,1.0,2.0,A,2.1666666666666665,0.8333333333333334,1.5,0.8333333333333334,9,10,0.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.0,0.1666666666666666,2.6666666666666665,1.6666666666666667,7,1.0,1.0,6,0,0,0,0.0,2.049,0.818,1.364,0.768,2.431,1.428
2015-09-26,Liverpool,Aston Villa,3.0,2.0,H,1.0,0.0,H,0.6666666666666666,1.0,1.1666666666666667,1.5,5,1,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.5,0.0,0.5,0.6666666666666666,1.3333333333333333,4,1.3333333333333333,1.6666666666666667,3,0,0,0,0.0,0.508,1.041,1.041,1.27,0.997,1.387
2015-09-26,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,1.5,1.0,0.8333333333333334,2.1666666666666665,10,2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,1.3333333333333333,0.3333333333333333,7,1.3333333333333333,2.6666666666666665,1,0,0,0,0.0,0.996,1.032,0.258,1.992,3.065,0.341
2015-09-26,Newcastle,Chelsea,2.0,2.0,D,1.0,0.0,H,0.5,1.5,1.5,2.0,1,6,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.6666666666666666,0.0,0.8333333333333334,1.0,1.6666666666666667,1,1.3333333333333333,2.6666666666666665,3,0,0,0,0.0,0.733,1.048,1.31,1.956,2.215,1.758
2015-09-26,Stoke,Bournemouth,2.0,1.0,H,1.0,0.0,H,0.8333333333333334,1.3333333333333333,1.5,1.5,3,7,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.5,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1,1.6666666666666667,2.333333333333333,3,0,0,0,0.0,0.486,1.298,1.039,1.699,1.276,1.727
2015-09-27,Watford,Crystal Palace,0.0,1.0,A,0.0,0.0,D,0.8333333333333334,1.3333333333333333,0.8333333333333334,1.1666666666666667,8,6,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,5,1.6666666666666667,1.0,6,0,0,0,0.0,0.241,1.303,0.0,0.723,0.269,0.0
2015-09-28,West Brom,Everton,2.0,3.0,A,1.0,0.0,H,0.6666666666666666,1.3333333333333333,1.0,0.8333333333333334,8,8,0.0,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0,0.5,0.6666666666666666,2.0,1,1.0,0.0,5,0,0,0,0.0,0.489,0.784,1.568,0.0,0.0,1.574
